Ano;Ingressos;Saidas;Reposicao
2012;23781;22751;1,045272735264384
2013;31105;24014;1,295286083118181
2014;39901;25138;1,587278224202403
2015;21790;23242;0,937526890973238
2016;20808;20916;0,994836488812392
2017;18445;27282;0,676086797155634
2018;13397;23122;0,579404895770262
2019;13434;42104;0,319067072012160
2020;6536;17072;0,382849109653233
2021;5067;14382;0,352315394242804
2022;12578;17782;0,707344505679901
2023;5600;9221;0,607309402450927
